Simulation model,cloth
Finished FLAGS.mode,all
Train epochs,4
Epoch trajectories,15
Rollouts,10
Evaluation set,valid
Core model,encode_process_decode
Message passing aggregator,sum
Message passing steps,1
Attention used,False
Ripple used,False
Ripple generation method,
Ripple generation number,
Ripple node selection method,
Ripple node selection number,
Ripple node connection method,
Ripple node ncross number,
Elapsed time,0:10:43.157217
Train mean elapsed time,0:00:10
Mean train epoch loss,6658.623046875
Max train epoch loss,7926.35546875
Min train epoch loss,5927.001953125
Mean eval mse loss,25.9190616607666
Max eval mse loss,50.816776275634766
Min eval mse loss,12.337096214294434
Mean eval l1 loss,3.8209476470947266
Max eval l1 loss,5.503693580627441
Min eval l1 loss,2.636326551437378
